car_id,brand,model,year,mileage_km,fuel_type,engine_cc,horsepower,price_eur,color,transmission,num_doors,co2_g_per_km,car_age_years,price_category,mileage_category,hp_per_100cc,is_electric
7,BMW,Model_7,2004.0,100000.0,Hybrid,4400.0,330.0,25000,Red,Manual,4.0,195.0,22,Mid-range,Medium,7.5,0
9,Hyundai,Model_9,2018.0,95000.0,Hybrid,2000.0,180.0,29500,White,,4.0,0.0,8,Mid-range,Medium,9.0,0
12,Hyundai,Model_12,2023.0,30000.0,Hybrid,4200.0,110.0,33000,Red,Automatic,5.0,210.0,3,Premium,Low,2.62,0
15,Audi,Model_15,2021.0,160000.0,Hybrid,2400.0,300.0,42000,Silver,Automatic,2.0,120.0,5,Premium,High,12.5,0
18,Hyundai,Model_18,2019.0,290000.0,Hybrid,2900.0,350.0,2000,Silver,,5.0,10.0,7,Budget,High,12.07,0
22,Toyota,Model_22,2019.0,105000.0,Petrol,1900.0,60.0,25000,Black,Automatic,3.0,215.0,7,Mid-range,Medium,3.16,0
26,Toyota,Model_26,2002.0,185000.0,Diesel,1600.0,260.0,15500,Black,Manual,5.0,165.0,24,Mid-range,High,16.25,0
35,Honda,Model_35,2001.0,145000.0,Diesel,1900.0,400.0,3000,Red,Manual,5.0,80.0,25,Budget,Medium,21.05,0
38,Honda,Model_38,2022.0,230000.0,Diesel,4300.0,110.0,55000,Grey,Manual,3.0,270.0,4,Premium,High,2.56,0
49,Honda,Model_49,2003.0,215000.0,Electric,3000.0,150.0,23500,Red,,4.0,80.0,23,Mid-range,High,5.0,1
50,Hyundai,Model_50,2022.0,135000.0,Hybrid,3600.0,150.0,14000,,,2.0,110.0,4,Mid-range,Medium,4.17,0
52,Toyota,Model_52,2023.0,140000.0,Electric,1800.0,220.0,8000,Blue,,2.0,265.0,3,Budget,Medium,12.22,1
55,Hyundai,Model_55,2005.0,25000.0,Petrol,1600.0,140.0,70500,Black,,2.0,35.0,21,Luxury,Low,8.75,0
81,Honda,Model_81,2019.0,285000.0,Hybrid,4300.0,420.0,39000,,,2.0,30.0,7,Premium,High,9.77,0
83,Hyundai,Model_83,2019.0,195000.0,Diesel,3800.0,190.0,48500,Grey,,3.0,250.0,7,Premium,High,5.0,0
84,Toyota,Model_84,2008.0,225000.0,Electric,2600.0,70.0,49000,White,,5.0,235.0,18,Premium,High,2.69,1
90,BMW,Model_90,2000.0,110000.0,Diesel,2600.0,390.0,21500,Blue,Manual,4.0,85.0,26,Mid-range,Medium,15.0,0
91,BMW,Model_91,2010.0,5000.0,Petrol,4600.0,230.0,19500,Red,Automatic,2.0,150.0,16,Mid-range,Low,5.0,0
95,Honda,Model_95,2017.0,125000.0,Hybrid,3500.0,390.0,39000,,Automatic,3.0,170.0,9,Premium,Medium,11.14,0
98,Honda,Model_98,2002.0,160000.0,Hybrid,1500.0,290.0,68500,Silver,Automatic,2.0,205.0,24,Luxury,High,19.33,0
103,Honda,Model_103,2015.0,190000.0,Electric,2000.0,100.0,41000,Silver,Automatic,2.0,115.0,11,Premium,High,5.0,1
108,Hyundai,Model_108,2001.0,170000.0,Petrol,1300.0,150.0,36500,Blue,Manual,3.0,165.0,25,Premium,High,11.54,0
111,Toyota,Model_111,2011.0,115000.0,Hybrid,3900.0,290.0,35500,Black,,5.0,210.0,15,Premium,Medium,7.44,0
118,Honda,Model_118,2002.0,220000.0,Electric,4300.0,480.0,46500,Silver,,4.0,70.0,24,Premium,High,11.16,1
119,Honda,Model_119,2018.0,95000.0,Diesel,4200.0,160.0,72500,White,,3.0,275.0,8,Luxury,Medium,3.81,0
124,Honda,Model_124,2023.0,65000.0,Diesel,2100.0,210.0,71000,Grey,Manual,5.0,120.0,3,Luxury,Medium,10.0,0
125,Toyota,Model_125,2021.0,55000.0,Diesel,2200.0,130.0,51500,,,2.0,60.0,5,Premium,Medium,5.91,0
126,Mercedes,Model_126,2023.0,250000.0,Diesel,3800.0,90.0,40000,,,4.0,85.0,3,Premium,High,2.37,0
128,Volkswagen,Model_128,2023.0,70000.0,Diesel,1000.0,90.0,68500,Grey,,4.0,75.0,3,Luxury,Medium,9.0,0
130,Honda,Model_130,2010.0,165000.0,Petrol,3000.0,80.0,4000,White,Manual,3.0,205.0,16,Budget,High,2.67,0
144,Honda,Model_144,2013.0,240000.0,Diesel,3300.0,110.0,77500,Silver,Manual,4.0,155.0,13,Luxury,High,3.33,0
149,Mercedes,Model_149,2015.0,265000.0,Electric,4800.0,310.0,36000,White,,4.0,225.0,11,Premium,High,6.46,1
